schema_version,session_id,segment_id,check_id,authoritative_source,expected_value,observed_value,status,enters_horizon_selection
skhynix_stage_h0a_support_v1,jul30,segment_0003,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0003.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0003,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0003.csv.gz,40503,40503,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0004,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0004.csv.gz,38392,38392,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0004,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0004.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0004,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0004.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0004,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0004.csv.gz,38392,38392,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0005,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0005.csv.gz,32485,32485,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0005,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0005.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0005,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0005.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0005,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0005.csv.gz,32485,32485,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0006,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0006.csv.gz,26895,26895,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0006,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0006.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0006,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0006.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0006,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0006.csv.gz,26895,26895,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0007,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0007.csv.gz,24627,24627,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0007,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0007.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0007,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0007.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0007,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0007.csv.gz,24627,24627,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0008,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0008.csv.gz,22949,22949,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0008,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0008.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0008,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0008.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0008,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0008.csv.gz,22948,22948,pass,false
