field_name,field_group,required,allowed_status_or_type,proof_role,forbidden_current_interpretation,notes
rounding_policy,fee_rebate_amounts,yes,explicit_policy|missing_fail_closed,precision_policy,implicit_rounding_metric,Missing policy fails closed.
arithmetic_validation_status,fee_rebate_amounts,yes,accepted_future_validation|non_arithmetic_fail_closed|precision_invalid_fail_closed|design_only,validation_result,current_fee_rebate_metric,Current task is design_only.
base_asset,currency_tick_conversion,yes,asset_code_or_missing,unit_identity,common_pnl_unit_without_conversion,Base unit identity.
quote_asset,currency_tick_conversion,yes,asset_code_or_missing,unit_identity,common_pnl_unit_without_conversion,Quote unit identity.
fee_asset,currency_tick_conversion,yes,asset_code_or_missing,unit_identity,fee_as_quote_without_proof,Fee unit identity.
rebate_asset,currency_tick_conversion,yes,asset_code_or_missing,unit_identity,rebate_as_quote_without_proof,Rebate unit identity.
conversion_source_provenance,currency_tick_conversion,yes,accepted_future_source|missing_fail_closed|conflicting_fail_closed|design_only,conversion_provenance,conversion_rate_assumed,Missing or conflicting conversion fails closed.
conversion_timestamp,currency_tick_conversion,yes,timestamp_or_missing,conversion_time,fill_time_or_settlement_time_alias,Separate conversion time.
conversion_rate,currency_tick_conversion,yes,decimal_or_missing,conversion_context,pnl_conversion_value,Requires provenance and timestamp.
tick_size,currency_tick_conversion,yes,decimal_or_missing,tick_context,tick_value_metric,Requires unit validation.
tick_value,currency_tick_conversion,yes,decimal_or_missing,tick_context,pnl_value,Requires conversion validation.
conversion_tolerance,currency_tick_conversion,yes,decimal_or_missing,tolerance_policy,unbounded_tolerance,Explicit tolerance required.
conversion_validation_status,currency_tick_conversion,yes,accepted_future_validation|conversion_missing_fail_closed|conversion_conflicting_fail_closed|unit_inconsistent_fail_closed|precision_invalid_fail_closed|design_only,validation_result,current_conversion_metric,Current task is design_only.
quoted_spread_context,spread_capture_fields,yes,decimal_or_missing,context_only,realized_spread_capture_proof,Quoted spread is context.
filled_spread_context,spread_capture_fields,yes,decimal_or_missing,context_only,realized_spread_capture_proof,Filled spread is context.
realized_spread_design_label,spread_capture_fields,yes,design_label|missing_fail_closed|ambiguous_fail_closed|conflicting_fail_closed,design_label,current_realized_spread_metric,Design label only.
markout_context,spread_capture_fields,yes,decimal_or_missing,context_only,pnl_or_spread_capture_proof,Public markout alone is not proof.
hypothetical_spread_flag,spread_capture_fields,yes,true|false|unknown_fail_closed,overclaim_guard,pnl_or_spread_capture_proof,Hypothetical spread cannot prove realized economics.
spread_capture_proof_status,spread_capture_fields,yes,unproven_design_only|accepted_future_validation|fail_closed,proof_limit,current_spread_capture_proof,Current status must remain unproven_design_only.
spread_validation_status,spread_capture_fields,yes,accepted_future_validation|missing_fail_closed|ambiguous_fail_closed|conflicting_fail_closed|unsupported_fail_closed|design_only,validation_result,current_spread_metric,Current task is design_only.
fill_time,time_fields,yes,timestamp_or_missing,time_domain,settlement_time_alias,Separate from settlement time.
exchange_settlement_time,time_fields,yes,timestamp_or_missing,time_domain,fill_time_alias,Separate settlement time.
local_receive_time,time_fields,yes,timestamp_or_missing,time_domain,exchange_time_alias,Local observation time only.
account_economics_reconciliation_time,time_fields,yes,timestamp_or_missing,time_domain,settlement_time_alias,Separate reconciliation time.
artifact_generated_time,time_fields,yes,timestamp,time_domain,exchange_or_settlement_time,Local generation time only.
validation_time,time_fields,yes,timestamp,time_domain,exchange_or_settlement_time,Validation time only.
allowed_future_use,proof_limits,yes,design_input_for_later_task,proof_limit,current_authorization,Future use requires separate task.
forbidden_current_interpretation,proof_limits,yes,no_endpoint_no_collector_no_runner_no_metric_no_pnl_no_strategy_no_live_no_deployment_no_promotion,proof_limit,current_authorization,Required boundary statement.
overclaim_rejection_id,proof_limits,yes,string,overclaim_guard,proof_claim,References reject rule.
current_proof_status,proof_limits,yes,unproven_design_only|fail_closed,proof_limit,proof_available,Current proof is unavailable.
design_only_marker,proof_limits,yes,true,boundary_marker,implementation_ready,Must remain true.
